Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)	Gene Names	PDB
P55064	reviewed	AQP5_HUMAN	Aquaporin-5, AQP-5	Homo sapiens (Human)	265	AQP5	AQP5	3D9S;5C5X;5DYE;
P55072	reviewed	TERA_HUMAN	Transitional endoplasmic reticulum ATPase, TER ATPase, EC 3.6.4.6 (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein, VCP)	Homo sapiens (Human)	806	VCP	VCP	3EBB;3HU1;3HU2;3HU3;3QC8;3QQ7;3QQ8;3QWZ;3TIW;4KDI;4KDL;4KLN;4KO8;4KOD;4P0A;5B6C;5C18;5C19;5C1A;5C1B;5DYG;5DYI;5EPP;5FTJ;5FTK;5FTL;5FTM;5FTN;5GLF;5IFS;5IFW;5KIW;5KIY;5X4L;6G2V;6G2W;6G2X;6G2Y;6G2Z;6G30;6HD0;6MCK;7BP8;7BP9;7BPA;7BPB;7JY5;7K56;7K57;7K59;7L5W;7L5X;7LMY;7LMZ;7LN0;7LN1;7LN2;7LN3;7LN4;7LN5;7LN6;7MDM;7MDO;7R7S;7R7T;7R7U;7RL6;7RL7;7RL9;7RLA;7RLB;7RLC;7RLD;7RLF;7RLG;7RLH;7RLI;7RLJ;7VCS;7VCT;7VCU;7VCV;7VCX;
P55075	reviewed	FGF8_HUMAN	Fibroblast growth factor 8, FGF-8 (Androgen-induced growth factor, AIGF) (Heparin-binding growth factor 8, HBGF-8)	Homo sapiens (Human)	233	FGF8	FGF8 AIGF	2FDB;
P55081	reviewed	MFAP1_HUMAN	Microfibrillar-associated protein 1 (Spliceosome B complex protein MFAP1)	Homo sapiens (Human)	439	MFAP1	MFAP1	5F5S;5O9Z;6AHD;7AAV;7ABF;7ABG;7ABI;
P55084	reviewed	ECHB_HUMAN	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase, EC 2.3.1.155, EC 2.3.1.16 (Acetyl-CoA acyltransferase) (Beta-ketothiolase) ]	Homo sapiens (Human)	474	HADHB	HADHB MSTP029	5ZQZ;5ZRV;6DV2;
P55085	reviewed	PAR2_HUMAN	Proteinase-activated receptor 2, PAR-2 (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11) (Thrombin receptor-like 1) [Cleaved into: Proteinase-activated receptor 2, alternate cleaved 1; Proteinase-activated receptor 2, alternate cleaved 2 ]	Homo sapiens (Human)	397	F2RL1	F2RL1 GPR11 PAR2	5NDD;5NDZ;5NJ6;
P55087	reviewed	AQP4_HUMAN	Aquaporin-4, AQP-4 (Mercurial-insensitive water channel, MIWC) (WCH4)	Homo sapiens (Human)	323	AQP4	AQP4	3GD8;
P55089	reviewed	UCN1_HUMAN	Urocortin	Homo sapiens (Human)	124	UCN	UCN	2RMF;3N96;6PB0;6PB1;
P55145	reviewed	MANF_HUMAN	Mesencephalic astrocyte-derived neurotrophic factor (Arginine-rich protein) (Protein ARMET)	Homo sapiens (Human)	182	MANF	MANF ARMET ARP	2KVD;2KVE;2W51;
P55196	reviewed	AFAD_HUMAN	Afadin (ALL1-fused gene from chromosome 6 protein, Protein AF-6) (Afadin adherens junction formation factor)	Homo sapiens (Human)	1824	AFDN	AFDN AF6 MLLT4	1T2M;1XZ9;2AIN;2EXG;5A6C;
P55197	reviewed	AF10_HUMAN	Protein AF-10 (ALL1-fused gene from chromosome 10 protein)	Homo sapiens (Human)	1068	MLLT10	MLLT10 AF10	5DAG;5DAH;6CKN;6CKO;6JN2;7MJU;
P55199	reviewed	ELL_HUMAN	RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein)	Homo sapiens (Human)	621	ELL	ELL C19orf17	2DOA;
P55201	reviewed	BRPF1_HUMAN	Peregrin (Bromodomain and PHD finger-containing protein 1) (Protein Br140)	Homo sapiens (Human)	1214	BRPF1	BRPF1 BR140	2D9E;2RS9;2X35;2X4W;2X4X;2X4Y;3L42;3MO8;4LC2;4QYD;4QYL;4UYE;5C6S;5C7N;5C85;5C87;5C89;5D7X;5DY7;5DYA;5DYC;5E3D;5E3G;5EM3;5EPR;5EPS;5EQ1;5ERC;5ETB;5ETD;5EV9;5EVA;5EWC;5EWD;5EWH;5EWV;5EWW;5FFV;5FFW;5FFY;5FG4;5FG5;5G4R;5G4S;5MWG;5MWH;5MWZ;5MYG;5O4S;5O4T;5O55;5O5A;5O5F;5O5H;5OV8;5OWA;5OWB;5OWE;5T4U;5T4V;6EKQ;6U04;7C4I;
P55209	reviewed	NP1L1_HUMAN	Nucleosome assembly protein 1-like 1 (NAP-1-related protein, hNRP)	Homo sapiens (Human)	391	NAP1L1	NAP1L1 NRP	7BP5;
P55210	reviewed	CASP7_HUMAN	Caspase-7, CASP-7, EC 3.4.22.60 (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3, ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11 ]	Homo sapiens (Human)	303	CASP7	CASP7 MCH3	1F1J;1GQF;1I4O;1I51;1K86;1K88;1KMC;1SHJ;1SHL;2QL5;2QL7;2QL9;2QLB;2QLF;2QLJ;3EDR;3H1P;3IBC;3IBF;3R5K;4FDL;4FEA;4HQ0;4HQR;4JB8;4JJ8;4JR1;4JR2;4LSZ;4ZVO;4ZVP;4ZVQ;4ZVR;4ZVS;4ZVT;4ZVU;5IC6;5K20;5V6U;5V6Z;
P55211	reviewed	CASP9_HUMAN	Caspase-9, CASP-9, EC 3.4.22.62 (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3, APAF-3) (ICE-like apoptotic protease 6, ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10 ]	Homo sapiens (Human)	416	CASP9	CASP9 MCH6	1JXQ;1NW9;2AR9;3D9T;3V3K;3YGS;4RHW;5JUY;5WVC;5WVE;
P55212	reviewed	CASP6_HUMAN	Caspase-6, CASP-6, CSP-6, EC 3.4.22.59 (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18 (Caspase-6 subunit p20); Caspase-6 subunit p11 (Caspase-6 subunit p10) ]	Homo sapiens (Human)	293	CASP6	CASP6 MCH2	2WDP;3K7E;3NKF;3NR2;3OD5;3P45;3P4U;3QNW;3S70;3S8E;3V6L;3V6M;4EJF;4FXO;4HVA;4IYR;4N5D;4N6G;4N7J;4N7M;4NBK;4NBL;4NBN;6DEU;6DEV;
P55259	reviewed	GP2_HUMAN	Pancreatic secretory granule membrane major glycoprotein GP2 (Pancreatic zymogen granule membrane protein GP-2) (ZAP75)	Homo sapiens (Human)	537	GP2	GP2	7P6R;7P6S;7P6T;
P55263	reviewed	ADK_HUMAN	Adenosine kinase, AK, EC 2.7.1.20 (Adenosine 5'-phosphotransferase)	Homo sapiens (Human)	362	ADK	ADK	1BX4;2I6A;2I6B;4O1L;
P55265	reviewed	DSRAD_HUMAN	Double-stranded RNA-specific adenosine deaminase, DRADA, EC 3.5.4.37 (136 kDa double-stranded RNA-binding protein, p136) (Interferon-inducible protein 4, IFI-4) (K88DSRBP)	Homo sapiens (Human)	1226	ADAR	ADAR ADAR1 DSRAD G1P1 IFI4	1QBJ;1QGP;1XMK;2ACJ;2GXB;2L54;2MDR;3F21;3F22;3F23;3IRQ;3IRR;5ZU1;5ZUO;5ZUP;7C0I;
P55273	reviewed	CDN2D_HUMAN	Cyclin-dependent kinase 4 inhibitor D (p19-INK4d)	Homo sapiens (Human)	166	CDKN2D	CDKN2D	1BD8;1BI8;
P55285	reviewed	CADH6_HUMAN	Cadherin-6 (Kidney cadherin, K-cadherin)	Homo sapiens (Human)	790	CDH6	CDH6	5VEB;
P55290	reviewed	CAD13_HUMAN	Cadherin-13 (Heart cadherin, H-cadherin) (P105) (Truncated cadherin, T-cad, T-cadherin)	Homo sapiens (Human)	713	CDH13	CDH13 CDHH	2V37;
P55316	reviewed	FOXG1_HUMAN	Forkhead box protein G1 (Brain factor 1, BF-1, BF1) (Brain factor 2, BF-2, BF2, hBF-2) (Forkhead box protein G1A) (Forkhead box protein G1B) (Forkhead box protein G1C) (Forkhead-related protein FKHL1, HFK1) (Forkhead-related protein FKHL2, HFK2) (Forkhead-related protein FKHL3, HFK3)	Homo sapiens (Human)	489	FOXG1	FOXG1 FKH2 FKHL1 FKHL2 FKHL3 FKHL4 FOXG1A FOXG1B FOXG1C	7CBY;
P55318	reviewed	FOXA3_HUMAN	Hepatocyte nuclear factor 3-gamma, HNF-3-gamma, HNF-3G (Fork head-related protein FKH H3) (Forkhead box protein A3) (Transcription factor 3G, TCF-3G)	Homo sapiens (Human)	350	FOXA3	FOXA3 HNF3G TCF3G	1VTN;
P55345	reviewed	ANM2_HUMAN	Protein arginine N-methyltransferase 2, EC 2.1.1.319 (Histone-arginine N-methyltransferase PRMT2)	Homo sapiens (Human)	433	PRMT2	PRMT2 HMT1 HRMT1L1	1X2P;
P55347	reviewed	PKNX1_HUMAN	Homeobox protein PKNOX1 (Homeobox protein PREP-1) (PBX/knotted homeobox 1)	Homo sapiens (Human)	436	PKNOX1	PKNOX1 PREP1	1X2N;
P55735	reviewed	SEC13_HUMAN	Protein SEC13 homolog (GATOR complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein)	Homo sapiens (Human)	322	SEC13	SEC13 D3S1231E SEC13A SEC13L1 SEC13R	3BG0;3BG1;5A9Q;7PEQ;
P55769	reviewed	NH2L1_HUMAN	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog, hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed ]	Homo sapiens (Human)	128	SNU13	SNU13 NHP2L1	1E7K;2JNB;2OZB;3JCR;3SIU;3SIV;5O9Z;6AH0;6AHD;6QW6;6QX9;7MQ8;7MQ9;7MQA;
P55773	reviewed	CCL23_HUMAN	C-C motif chemokine 23 (CK-beta-8, CKB-8) (Macrophage inflammatory protein 3, MIP-3) (Myeloid progenitor inhibitory factor 1, MPIF-1) (Small-inducible cytokine A23) [Cleaved into: CCL23(19-99); CCL23(22-99); CCL23(27-99); CCL23(30-99) ]	Homo sapiens (Human)	120	CCL23	CCL23 MIP3 MPIF1 SCYA23	1G91;
P55774	reviewed	CCL18_HUMAN	C-C motif chemokine 18 (Alternative macrophage activation-associated CC chemokine 1, AMAC-1) (CC chemokine PARC) (Dendritic cell chemokine 1, DC-CK1) (Macrophage inflammatory protein 4, MIP-4) (Pulmonary and activation-regulated chemokine) (Small-inducible cytokine A18) [Cleaved into: CCL18(1-68); CCL18(3-69); CCL18(4-69) ]	Homo sapiens (Human)	89	CCL18	CCL18 AMAC1 DCCK1 MIP4 PARC SCYA18	4MHE;
P55789	reviewed	ALR_HUMAN	FAD-linked sulfhydryl oxidase ALR, EC 1.8.3.2 (Augmenter of liver regeneration, hERV1) (Hepatopoietin)	Homo sapiens (Human)	205	GFER	GFER ALR HERV1 HPO	3MBG;3O55;3TK0;3U2L;3U2M;3U5S;4LDK;
P55795	reviewed	HNRH2_HUMAN	Heterogeneous nuclear ribonucleoprotein H2, hnRNP H2 (FTP-3) (Heterogeneous nuclear ribonucleoprotein H', hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed ]	Homo sapiens (Human)	449	HNRNPH2	HNRNPH2 FTP3 HNRPH2	1WEZ;1WG5;6DG1;
P55809	reviewed	SCOT1_HUMAN	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial, SCOT, EC 2.8.3.5 (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase, SCOT-s) (Succinyl-CoA:3-oxoacid CoA transferase)	Homo sapiens (Human)	520	OXCT1	OXCT1 OXCT SCOT	3DLX;
P55854	reviewed	SUMO3_HUMAN	Small ubiquitin-related modifier 3, SUMO-3 (SMT3 homolog 1) (SUMO-2) (Ubiquitin-like protein SMT3A, Smt3A)	Homo sapiens (Human)	103	SUMO3	SUMO3 SMT3A SMT3H1	1U4A;2IO1;2MP2;6K5R;6NNQ;
P55884	reviewed	EIF3B_HUMAN	Eukaryotic translation initiation factor 3 subunit B, eIF3b (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog, hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)	Homo sapiens (Human)	814	EIF3B	EIF3B EIF3S9	2KRB;2NLW;5K1H;6YBT;6ZMW;6ZON;6ZP4;6ZVJ;7A09;
P55899	reviewed	FCGRN_HUMAN	IgG receptor FcRn large subunit p51, FcRn (IgG Fc fragment receptor transporter alpha chain) (Neonatal Fc receptor)	Homo sapiens (Human)	365	FCGRT	FCGRT FCRN	1EXU;3M17;3M1B;4K71;4N0F;4N0U;5BJT;5BXF;5WHK;6C97;6C98;6C99;6FGB;6ILM;6LA6;6LA7;6NHA;6QIO;6QIP;6WNA;6WOL;7B5F;7C9V;
P55957	reviewed	BID_HUMAN	BH3-interacting domain death agonist (p22 BID, BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID) ]	Homo sapiens (Human)	195	BID	BID	1ZY3;2BID;2KBW;2M5B;2M5I;4BD2;4QVE;4ZEQ;4ZIG;4ZII;5AJJ;5C3F;7M5A;7M5B;
P56159	reviewed	GFRA1_HUMAN	GDNF family receptor alpha-1, GDNF receptor alpha-1, GDNFR-alpha-1, GFR-alpha-1 (RET ligand 1) (TGF-beta-related neurotrophic factor receptor 1)	Homo sapiens (Human)	465	GFRA1	GFRA1 GDNFRA RETL1 TRNR1	6Q2N;
P56178	reviewed	DLX5_HUMAN	Homeobox protein DLX-5	Homo sapiens (Human)	289	DLX5	DLX5	2DJN;4RDU;
P56181	reviewed	NDUV3_HUMAN	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial (Complex I-9kD, CI-9kD) (NADH-ubiquinone oxidoreductase 9 kDa subunit) (Renal carcinoma antigen NY-REN-4)	Homo sapiens (Human)	108	NDUFV3	NDUFV3	5XTB;5XTD;5XTH;5XTI;
P56192	reviewed	SYMC_HUMAN	Methionine--tRNA ligase, cytoplasmic, EC 6.1.1.10 (Methionyl-tRNA synthetase, MetRS)	Homo sapiens (Human)	900	MARS1	MARS1 MARS	2DJV;4BL7;4BVX;4BVY;5GL7;5GOY;5Y6L;
P56199	reviewed	ITA1_HUMAN	Integrin alpha-1 (CD49 antigen-like family member A) (Laminin and collagen receptor) (VLA-1) (CD antigen CD49a)	Homo sapiens (Human)	1179	ITGA1	ITGA1	1PT6;1QC5;1QCY;2L8S;2M32;4A0Q;5HGJ;
P56278	reviewed	MTCP1_HUMAN	Protein p13 MTCP-1, p13MTCP1 (Mature T-cell proliferation-1 type B1, MTCP-1 type B1)	Homo sapiens (Human)	107	MTCP1	MTCP1 C6.1B	1A1X;1QTT;1QTU;
P56279	reviewed	TCL1A_HUMAN	T-cell leukemia/lymphoma protein 1A (Oncogene TCL-1, Oncogene TCL1) (Protein p14 TCL1)	Homo sapiens (Human)	114	TCL1A	TCL1A TCL1	1JSG;
P56282	reviewed	DPOE2_HUMAN	DNA polymerase epsilon subunit 2 (DNA polymerase II subunit 2) (DNA polymerase epsilon subunit B)	Homo sapiens (Human)	527	POLE2	POLE2 DPE2	2V6Z;5VBN;7PFO;7PLO;
P56373	reviewed	P2RX3_HUMAN	P2X purinoceptor 3, P2X3 (ATP receptor) (Purinergic receptor)	Homo sapiens (Human)	397	P2RX3	P2RX3	5SVJ;5SVK;5SVL;5SVM;5SVP;5SVQ;5SVR;5SVS;5SVT;5YVE;6AH4;6AH5;
P56470	reviewed	LEG4_HUMAN	Galectin-4, Gal-4 (Antigen NY-CO-27) (L-36 lactose-binding protein, L36LBP) (Lactose-binding lectin 4)	Homo sapiens (Human)	323	LGALS4	LGALS4	1X50;4XZP;4YLZ;4YM0;4YM1;4YM2;4YM3;5CBL;5DUU;5DUV;5DUW;5DUX;6WAB;
P56524	reviewed	HDAC4_HUMAN	Histone deacetylase 4, HD4, EC 3.5.1.98	Homo sapiens (Human)	1084	HDAC4	HDAC4 KIAA0288	2H8N;2O94;2VQJ;2VQM;2VQO;2VQQ;2VQV;2VQW;3UXG;3UZD;3V31;4CBT;4CBY;5A2S;5ZOO;5ZOP;6FYZ;
P56537	reviewed	IF6_HUMAN	Eukaryotic translation initiation factor 6, eIF-6 (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP))	Homo sapiens (Human)	245	EIF6	EIF6 EIF3A ITGB4BP OK/SW-cl.27	6LQM;6LSR;6LSS;6LU8;
P56545	reviewed	CTBP2_HUMAN	C-terminal-binding protein 2, CtBP2	Homo sapiens (Human)	445	CTBP2	CTBP2	2OME;4LCJ;6WKW;
P56556	reviewed	NDUA6_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14, CI-B14) (LYR motif-containing protein 6) (NADH-ubiquinone oxidoreductase B14 subunit)	Homo sapiens (Human)	128	NDUFA6	NDUFA6 LYRM6 NADHB14	5XTB;5XTD;5XTH;5XTI;
P56589	reviewed	PEX3_HUMAN	Peroxisomal biogenesis factor 3 (Peroxin-3) (Peroxisomal assembly protein PEX3)	Homo sapiens (Human)	373	PEX3	PEX3	3AJB;3MK4;
P56696	reviewed	KCNQ4_HUMAN	Potassium voltage-gated channel subfamily KQT member 4 (KQT-like 4) (Potassium channel subunit alpha KvLQT4) (Voltage-gated potassium channel subunit Kv7.4)	Homo sapiens (Human)	695	KCNQ4	KCNQ4	2OVC;4GOW;6N5W;7BYL;7BYM;7BYN;7VNP;7VNQ;7VNR;
P56703	reviewed	WNT3_HUMAN	Proto-oncogene Wnt-3 (Proto-oncogene Int-4 homolog)	Homo sapiens (Human)	355	WNT3	WNT3 INT4	6AHY;
P56704	reviewed	WNT3A_HUMAN	Protein Wnt-3a	Homo sapiens (Human)	352	WNT3A	WNT3A	7DRT;
P56817	reviewed	BACE1_HUMAN	Beta-secretase 1, EC 3.4.23.46 (Aspartyl protease 2, ASP2, Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1, Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	Homo sapiens (Human)	501	BACE1	BACE1 BACE KIAA1149	1FKN;1M4H;1PY1;1SGZ;1TQF;1UJJ;1UJK;1W50;1W51;1XN2;1XN3;1XS7;1YM2;1YM4;2B8L;2B8V;2F3E;2F3F;2FDP;2G94;2HIZ;2HM1;2IQG;2IRZ;2IS0;2NTR;2OAH;2OF0;2OHK;2OHL;2OHM;2OHN;2OHP;2OHQ;2OHR;2OHS;2OHT;2OHU;2P4J;2P83;2P8H;2PH6;2PH8;2Q11;2Q15;2QK5;2QMD;2QMF;2QMG;2QP8;2QU2;2QU3;2QZK;2QZL;2VA5;2VA6;2VA7;2VIE;2VIJ;2VIY;2VIZ;2VJ6;2VJ7;2VJ9;2VKM;2VNM;2VNN;2WEZ;2WF0;2WF1;2WF2;2WF3;2WF4;2WJO;2XFI;2XFJ;2XFK;2ZDZ;2ZE1;2ZHR;2ZHS;2ZHT;2ZHU;2ZHV;2ZJH;2ZJI;2ZJJ;2ZJK;2ZJL;2ZJM;2ZJN;3BRA;3BUF;3BUG;3BUH;3CIB;3CIC;3CID;3CKP;3CKR;3DM6;3DUY;3DV1;3DV5;3EXO;3FKT;3H0B;3HVG;3HW1;3I25;3IGB;3IN3;3IN4;3IND;3INE;3INF;3INH;3IVH;3IVI;3IXJ;3IXK;3K5C;3K5D;3K5F;3K5G;3KMX;3KMY;3KN0;3KYR;3L38;3L3A;3L58;3L59;3L5B;3L5C;3L5D;3L5E;3L5F;3LHG;3LNK;3LPI;3LPJ;3LPK;3MSJ;3MSK;3MSL;3N4L;3NSH;3OHF;3OHH;3OOZ;3PI5;3QBH;3QI1;3R1G;3R2F;3RSV;3RSX;3RTH;3RTM;3RTN;3RU1;3RVI;3S2O;3S7L;3S7M;3SKF;3SKG;3TPJ;3TPL;3TPP;3TPR;3U6A;3UDH;3UDJ;3UDK;3UDM;3UDN;3UDP;3UDQ;3UDR;3UDY;3UFL;3UQP;3UQR;3UQU;3UQW;3UQX;3VEU;3VF3;3VG1;3VV6;3VV7;3VV8;3WB4;3WB5;3ZMG;3ZOV;4ACU;4ACX;4AZY;4B00;4B05;4B0Q;4B1C;4B1D;4B1E;4B70;4B72;4B77;4B78;4BEK;4BFD;4D83;4D85;4D88;4D89;4D8C;4DH6;4DI2;4DJU;4DJV;4DJW;4DJX;4DJY;4DPF;4DPI;4DUS;4DV9;4DVF;4EWO;4EXG;4FCO;4FGX;4FM7;4FM8;4FRI;4FRJ;4FRK;4FRS;4FS4;4FSE;4FSL;4GID;4GMI;4H1E;4H3F;4H3G;4H3I;4H3J;4HA5;4HZT;4I0D;4I0E;4I0F;4I0G;4I0H;4I0I;4I0J;4I0Z;4I10;4I11;4I12;4I1C;4IVS;4IVT;4J0P;4J0T;4J0V;4J0Y;4J0Z;4J17;4J1C;4J1E;4J1F;4J1H;4J1I;4J1K;4JOO;4JP9;4JPC;4JPE;4K8S;4K9H;4KE0;4KE1;4L7G;4L7H;4L7J;4LC7;4LXA;4LXK;4LXM;4N00;4PZW;4PZX;4R5N;4R8Y;4R91;4R92;4R93;4R95;4RCD;4RCE;4RCF;4RRN;4RRO;4RRS;4TRW;4TRY;4TRZ;4WTU;4WY1;4WY6;4X2L;4X7I;4XKX;4XXS;4YBI;4ZPE;4ZPF;4ZPG;4ZSM;4ZSP;4ZSQ;4ZSR;5CLM;5DQC;5ENK;5ENM;5EZX;5EZZ;5F00;5F01;5HD0;5HDU;5HDV;5HDX;5HDZ;5HE4;5HE5;5HE7;5HTZ;5HU0;5HU1;5I3V;5I3W;5I3X;5I3Y;5IE1;5KQF;5KR8;5MBW;5MCO;5MCQ;5MXD;5QCO;5QCP;5QCQ;5QCR;5QCS;5QCT;5QCU;5QCV;5QCW;5QCX;5QCY;5QCZ;5QD0;5QD1;5QD2;5QD3;5QD4;5QD5;5QD6;5QD7;5QD8;5QD9;5QDA;5QDB;5QDC;5QDD;5T1U;5T1W;5TOL;5UYU;5V0N;5YGX;5YGY;6BFD;6BFE;6BFW;6BFX;6C2I;6DHC;6DMI;6E3Z;6EJ2;6EJ3;6EQM;6FGY;6JSE;6JSF;6JSG;6JSN;6JT3;6JT4;6NV7;6NV9;6NW3;6OD6;6PZ4;6UVP;6UVV;6UVY;6UWP;6UWV;6WNY;7B1E;7B1P;7B1Q;7D2V;7D2X;7D36;7D5A;7DCZ;7F1D;7MYI;7MYR;7MYU;7N66;
P56915	reviewed	GSC_HUMAN	Homeobox protein goosecoid	Homo sapiens (Human)	257	GSC	GSC	2DMU;
P56945	reviewed	BCAR1_HUMAN	Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (Cas scaffolding protein family member 1) (p130cas)	Homo sapiens (Human)	870	BCAR1	BCAR1 CAS CASS1 CRKAS	1WYX;3T6G;5O2M;5O2P;5O2Q;
P56962	reviewed	STX17_HUMAN	Syntaxin-17	Homo sapiens (Human)	302	STX17	STX17	4WY4;7BV4;7BV6;
P57052	reviewed	RBM11_HUMAN	Splicing regulator RBM11 (RNA-binding motif protein 11)	Homo sapiens (Human)	281	RBM11	RBM11	2YWK;
P57075	reviewed	UBS3A_HUMAN	Ubiquitin-associated and SH3 domain-containing protein A (Cbl-interacting protein 4, CLIP4) (Suppressor of T-cell receptor signaling 2, STS-2) (T-cell ubiquitin ligand 1, TULA-1)	Homo sapiens (Human)	661	UBASH3A	UBASH3A STS2	2CRN;5WDI;
P57105	reviewed	SYJ2B_HUMAN	Synaptojanin-2-binding protein (Mitochondrial outer membrane protein 25)	Homo sapiens (Human)	145	SYNJ2BP	SYNJ2BP OMP25	2ENO;2JIK;2JIN;
P57729	reviewed	RAB38_HUMAN	Ras-related protein Rab-38 (Melanoma antigen NY-MEL-1)	Homo sapiens (Human)	211	RAB38	RAB38	6HDU;6S5H;
P57730	reviewed	CAR18_HUMAN	Caspase recruitment domain-containing protein 18 (Caspase-1 inhibitor Iceberg)	Homo sapiens (Human)	90	CARD18	CARD18 ICEBERG UNQ5804/PRO19611	1DGN;
P57735	reviewed	RAB25_HUMAN	Ras-related protein Rab-25 (CATX-8)	Homo sapiens (Human)	213	RAB25	RAB25 CATX8	2OIL;3TSO;
P57739	reviewed	CLD2_HUMAN	Claudin-2 (SP82)	Homo sapiens (Human)	230	CLDN2	CLDN2 PSEC0059 SP82 UNQ705/PRO1356	4YYX;
P57740	reviewed	NU107_HUMAN	Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107)	Homo sapiens (Human)	925	NUP107	NUP107	3CQC;3CQG;3I4R;5A9Q;7PEQ;
P57764	reviewed	GSDMD_HUMAN	Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal, GSDMD-NT, hGSDMD-NTD; Gasdermin-D, C-terminal, GSDMD-CT, hGSDMD-CTD ]	Homo sapiens (Human)	484	GSDMD	GSDMD DFNA5L GSDMDC1 FKSG10	5NH1;5WQT;6AO4;6KN0;6N9O;6VFE;
P57768	reviewed	SNX16_HUMAN	Sorting nexin-16	Homo sapiens (Human)	344	SNX16	SNX16	5GW0;5GW1;
P57771	reviewed	RGS8_HUMAN	Regulator of G-protein signaling 8, RGS8	Homo sapiens (Human)	180	RGS8	RGS8	2IHD;2ODE;5DO9;
P57772	reviewed	SELB_HUMAN	Selenocysteine-specific elongation factor (Elongation factor sec) (Eukaryotic elongation factor, selenocysteine-tRNA-specific)	Homo sapiens (Human)	596	EEFSEC	EEFSEC SELB	5IZK;5IZL;5IZM;
P57789	reviewed	KCNKA_HUMAN	Potassium channel subfamily K member 10 (Outward rectifying potassium channel protein TREK-2) (TREK-2 K(+) channel subunit)	Homo sapiens (Human)	538	KCNK10	KCNK10 TREK2	4BW5;4XDJ;4XDK;4XDL;
P58004	reviewed	SESN2_HUMAN	Sestrin-2, EC 1.11.1.- (Hypoxia-induced gene)	Homo sapiens (Human)	480	SESN2	SESN2 Hi95 SEST2	5CUF;5DJ4;5T0N;6N0M;
P58335	reviewed	ANTR2_HUMAN	Anthrax toxin receptor 2 (Capillary morphogenesis gene 2 protein, CMG-2)	Homo sapiens (Human)	489	ANTXR2	ANTXR2 CMG2	1SHT;1SHU;1T6B;1TZN;7N1O;
P58340	reviewed	MLF1_HUMAN	Myeloid leukemia factor 1 (Myelodysplasia-myeloid leukemia factor 1)	Homo sapiens (Human)	268	MLF1	MLF1	3UAL;3UBW;6Y8E;
P58400	reviewed	NRX1B_HUMAN	Neurexin-1-beta (Neurexin I-beta)	Homo sapiens (Human)	472	NRXN1	NRXN1	3B3Q;5Z8Y;
P58401	reviewed	NRX2B_HUMAN	Neurexin-2-beta (Neurexin II-beta)	Homo sapiens (Human)	666	NRXN2	NRXN2	4NXR;
P58546	reviewed	MTPN_HUMAN	Myotrophin (Protein V-1)	Homo sapiens (Human)	118	MTPN	MTPN	3AAA;7DF7;7DSA;7DSB;
P58743	reviewed	S26A5_HUMAN	Prestin (Solute carrier family 26 member 5)	Homo sapiens (Human)	744	SLC26A5	SLC26A5 PRES	7LGU;7LGW;7LH2;7LH3;
P58753	reviewed	TIRAP_HUMAN	Toll/interleukin-1 receptor domain-containing adapter protein, TIR domain-containing adapter protein (Adaptor protein Wyatt) (MyD88 adapter-like protein, MyD88-2)	Homo sapiens (Human)	221	TIRAP	TIRAP MAL	2NDH;2Y92;3UB2;3UB3;3UB4;4FZ5;4LQD;5T7Q;5UZB;
